number,value,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_activation,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_epochs_matched,user_attrs_epochs_per_round,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_max_rounds,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_train__best_metric,user_attrs_train__history_len,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_n,user_attrs_unseen_val_n,user_attrs_weight_decay,state
42,0.8440399839775253,relu,256,0.3450119539308801,9,3.0,0.21972622046538667,911,5.0,58,0.584751889205742,,,5,0.016157007596048052,2,mse,recon,0.5812903815245097,True,1e-05,,,,,relu,256,0.3450119539308801,9,3.0,3.0,-3.0,0.21972622046538667,8,600,5,911,5.0,"[911, 532]",,58,0.58397365532382,,,5,0.016157007596048052,120,2,sgd,mse,120,recon,,,,,0.5812903815245097,True,,,,,,,1e-05,PRUNED
43,0.9115962175834194,relu,512,0.24285575714756993,12,3.0,0.09797164296403975,746,,50,,,,6,0.019384806362089935,1,mse,recon,0.7449545595158242,False,1e-08,0.9462335423875838,0.9482206603131862,0.8774716854740225,0.8749717748536526,relu,512,0.24285575714756993,12,3.0,3.0,-3.0,0.09797164296403975,8,720,6,746,,[746],"[42, 43, 44, 45]",50,,,,6,0.019384806362089935,120,1,sgd,mse,120,recon,0.9115962175834194,0.007735454745370477,0.9118526139308032,0.8774716854740225,0.7449545595158242,False,0.9124375548038259,19.75,0.6294540598109668,0.6164718014323322,7290.0,5832.0,1e-08,COMPLETE
44,0.8272537838160774,elu,128,0.17914476738053725,15,5.0,0.1842957042557861,140,,115,0.5032145995945113,0.8842687608715869,,7,0.009053314717991487,3,mse,recon,0.5144829092780032,True,1e-10,,,,,elu,128,0.17914476738053725,15,5.0,5.0,-5.0,0.1842957042557861,8,845,7,140,,"[140, 70, 61]",,115,0.5,0.8714285714285714,,7,0.009053314717991487,120,3,sgd,mse,120,recon,,,,,0.5144829092780032,True,,,,,,,1e-10,PRUNED
45,0.8246797974751666,relu,256,1.048313817025201,0,3.0,0.15984053802737794,969,1.0,127,0.7347911090781492,,,6,0.014238173931385066,2,mse,recon,0.6469085700414533,True,1e-05,,,,,relu,256,1.048313817025201,0,3.0,3.0,-3.0,0.15984053802737794,8,720,6,969,1.0,"[969, 712]",,127,0.7347781217750258,,,6,0.014238173931385066,120,2,sgd,mse,120,recon,,,,,0.6469085700414533,True,,,,,,,1e-05,PRUNED
46,0.7548602525962431,relu,256,0.15018642556475598,3,6.0,0.23327502957941992,837,5.0,75,,,,5,0.006355430275177707,1,mse,recon+kl,0.8682321473148079,False,0.0001,,,,,relu,256,0.15018642556475598,3,6.0,6.0,-6.0,0.23327502957941992,8,600,5,837,5.0,[837],,75,,,,5,0.006355430275177707,120,1,sgd,mse,120,recon+kl,,,,,0.8682321473148079,False,,,,,,,0.0001,PRUNED
47,0.7097234805933301,elu,512,0.12015060905973228,13,8.0,0.06822135208223112,892,,60,0.5752283192922462,,,7,0.0044487878954496,2,huber,recon,0.4502593537042738,True,1e-10,,,,,elu,512,0.12015060905973228,13,8.0,8.0,-8.0,0.06822135208223112,8,840,7,892,,"[892, 513]",,60,0.5751121076233184,,,7,0.0044487878954496,120,2,sgd,huber,120,recon,,,,,0.4502593537042738,True,,,,,,,1e-10,PRUNED
48,0.8628404599475765,gelu,256,0.2882108298897861,12,3.0,0.2676656966973794,814,,20,,,,2,0.010744523329917025,1,mse,recon,0.7192798681207839,True,0.0,,,,,gelu,256,0.2882108298897861,12,3.0,3.0,-3.0,0.2676656966973794,8,240,2,814,,[814],,20,,,,2,0.010744523329917025,120,1,sgd,mse,120,recon,,,,,0.7192798681207839,True,,,,,,,0.0,PRUNED
49,0.95757122498076,relu,128,0.20940510588702266,11,5.0,0.32321889828928635,977,,43,0.6463546243495759,0.5931618635036962,,6,0.017061216852527938,3,mse,recon,0.763019712962526,True,1e-08,0.9728535434789565,0.9729227056719373,0.9381463041052535,0.9422197442895826,relu,128,0.20940510588702266,11,5.0,5.0,-5.0,0.32321889828928635,8,724,6,977,,"[977, 631, 374]","[42, 43, 44, 45]",43,0.6458546571136131,0.5927099841521395,,6,0.017061216852527938,120,3,sgd,mse,120,recon,0.95757122498076,0.004022144132522444,0.9554999237921049,0.9381463041052535,0.763019712962526,True,0.9578918964546395,95.25,0.7703174576293511,0.7533125149358066,7290.0,5832.0,1e-08,COMPLETE
50,0.8399180835690134,relu,128,0.20194183172702143,9,5.0,0.33184878612612134,970,,52,0.629231615443251,0.6022958221366639,,3,0.017660807084083983,3,mse,recon,0.7663528385797527,False,1e-08,,,,,relu,128,0.20194183172702143,9,5.0,5.0,-5.0,0.33184878612612134,8,362,3,970,,"[970, 610, 367]",,52,0.6288659793814433,0.601639344262295,,3,0.017660807084083983,120,3,sgd,mse,120,recon,,,,,0.7663528385797527,False,,,,,,,1e-08,PRUNED
51,0.7968795571850873,relu,128,1.4914658594600976,11,5.0,0.39199887025675983,1014,,44,0.6511628576057745,0.6540928980080324,,6,0.01428597399709743,3,mse,recon,0.7048062313876553,True,1e-08,,,,,relu,128,1.4914658594600976,11,5.0,5.0,-5.0,0.39199887025675983,8,724,6,1014,,"[1014, 660, 431]",,44,0.650887573964497,0.6530303030303031,,6,0.01428597399709743,120,3,sgd,mse,120,recon,,,,,0.7048062313876553,True,,,,,,,1e-08,PRUNED
