number,value,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_epochs_matched,user_attrs_epochs_per_round,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_max_rounds,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_train__best_metric,user_attrs_train__history_len,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_n,user_attrs_unseen_val_n,user_attrs_weight_decay,state
23,0.7502077782387885,gelu,256,0.2059967518569282,8,4.0,0.12142850004508873,475,,43,0.9821875769745055,,,6,0.006443735064780339,2,mse,recon,0.3827319451816578,True,1e-10,,,,,gelu,256,0.2059967518569282,8,4.0,4.0,-4.0,0.12142850004508873,8,720,6,475,,"[475, 466]",,43,0.9810526315789474,,,6,0.006443735064780339,120,2,sgd,mse,120,recon,,,,,0.3827319451816578,True,,,,,,,1e-10,PRUNED
24,0.9123909686117556,leakyrelu,128,0.14487190440001796,11,3.0,0.08182272755258588,276,2.0,63,,,,6,0.0187047759987451,1,mse,recon,0.8471665728018469,True,1e-10,0.9678328920802121,0.9677809660432672,0.8630516557811686,0.857000971180244,leakyrelu,128,0.14487190440001796,11,3.0,3.0,-3.0,0.08182272755258588,8,724,6,276,2.0,[276],"[42, 43, 44, 45]",63,,,,6,0.0187047759987451,120,1,sgd,mse,120,recon,0.9123909686117556,0.00313607433938552,0.9154422739306903,0.8630516557811686,0.8471665728018469,True,0.9139330612429225,34.75,0.5956244719545538,0.5977153096486721,7290.0,5832.0,1e-10,COMPLETE
25,0.912168026707104,leakyrelu,128,0.13559468611552614,10,3.0,0.09479081868515347,146,2.0,88,,,,6,0.019623358160738062,1,mse,recon,0.8648580339102719,True,1e-05,0.9690151681936472,0.9685246839489238,0.8616383003945876,0.855811369465284,leakyrelu,128,0.13559468611552614,10,3.0,3.0,-3.0,0.09479081868515347,8,724,6,146,2.0,[146],"[42, 43, 44, 45]",88,,,,6,0.019623358160738062,120,1,sgd,mse,120,recon,0.912168026707104,0.006005142759397542,0.9153267342941174,0.8616383003945876,0.8648580339102719,True,0.9129608225560316,28.25,0.5839286110781817,0.58840508341942,7290.0,5832.0,1e-05,COMPLETE
26,0.8105805136412132,gelu,128,0.14999497149183064,7,3.0,0.1743122948634592,151,,88,,,,6,0.01985568413993048,1,huber,recon+kl,0.8728141488811163,False,1e-05,,,,,gelu,128,0.14999497149183064,7,3.0,3.0,-3.0,0.1743122948634592,8,724,6,151,,[151],,88,,,,6,0.01985568413993048,120,1,sgd,huber,120,recon+kl,,,,,0.8728141488811163,False,,,,,,,1e-05,PRUNED
27,0.8967041379005383,relu,128,0.12860366867637554,10,3.0,0.0999296695032635,147,1.0,105,,,,6,0.008705862483277024,1,mse,recon,0.7569657741656266,True,1e-05,,,,,relu,128,0.12860366867637554,10,3.0,3.0,-3.0,0.0999296695032635,8,724,6,147,1.0,[147],,105,,,,6,0.008705862483277024,120,1,sgd,mse,120,recon,,,,,0.7569657741656266,True,,,,,,,1e-05,PRUNED
28,0.8947235044082974,leakyrelu,128,0.2173955568085251,10,3.0,0.19696104881932056,366,2.0,65,,,,8,0.005611545723189252,1,mse,recon,0.861194396930921,True,1e-05,0.9530303457956764,0.9566447933542952,0.838944642961307,0.8328022154622996,leakyrelu,128,0.2173955568085251,10,3.0,3.0,-3.0,0.19696104881932056,8,966,8,366,2.0,[366],"[42, 43, 44, 45]",65,,,,8,0.005611545723189252,120,1,sgd,mse,120,recon,0.8947235044082974,0.0017991293716991099,0.8959874943784917,0.838944642961307,0.861194396930921,True,0.8952128578830951,11.75,0.563430559554118,0.566507823775358,7290.0,5832.0,1e-05,COMPLETE
29,0.8807909179946598,relu,128,0.10979493841856805,8,3.0,0.16491736213534403,1022,5.0,80,,,,4,0.004197192254353692,1,mse,recon,0.6162990123493459,False,0.0001,,,,,relu,128,0.10979493841856805,8,3.0,3.0,-3.0,0.16491736213534403,8,483,4,1022,5.0,[1022],,80,,,,4,0.004197192254353692,120,1,sgd,mse,120,recon,,,,,0.6162990123493459,False,,,,,,,0.0001,PRUNED
30,0.8721632551873115,gelu,128,0.14521172647289077,6,3.0,0.2504970932007619,653,,96,0.7159616287006874,0.9910440393542805,,6,0.019700540036660358,3,mse,recon,0.817329768904464,True,0.0,,,,,gelu,128,0.14521172647289077,6,3.0,3.0,-3.0,0.2504970932007619,8,724,6,653,,"[653, 467, 462]",,96,0.7151607963246555,0.9892933618843683,,6,0.019700540036660358,120,3,sgd,mse,120,recon,,,,,0.817329768904464,True,,,,,,,0.0,PRUNED
31,0.9130687249384222,leakyrelu,128,0.15527708911193985,11,4.0,0.06914193988034213,304,2.0,62,,,,4,0.013499334856058158,1,mse,recon,0.8840153020730531,True,1e-06,,,,,leakyrelu,128,0.15527708911193985,11,4.0,4.0,-4.0,0.06914193988034213,8,483,4,304,2.0,[304],,62,,,,4,0.013499334856058158,120,1,sgd,mse,120,recon,,,,,0.8840153020730531,True,,,,,,,1e-06,PRUNED
32,0.8940165747467734,leakyrelu,128,0.18270979292463957,9,6.0,0.03257443584539682,271,2.0,79,,,,5,0.010034078116968098,1,mse,recon,0.7981459070777401,True,0.0001,,,,,leakyrelu,128,0.18270979292463957,9,6.0,6.0,-6.0,0.03257443584539682,8,604,5,271,2.0,[271],,79,,,,5,0.010034078116968098,120,1,sgd,mse,120,recon,,,,,0.7981459070777401,True,,,,,,,0.0001,PRUNED
33,0.9147270257893162,leakyrelu,128,0.22847083090554787,11,4.0,0.11693857378343689,138,2.0,102,,,,7,0.01583692018617725,1,mse,recon,0.8912293695342841,True,1e-10,0.9692729578636199,0.9699106709399539,0.8665898566350734,0.8595433806386787,leakyrelu,128,0.22847083090554787,11,4.0,4.0,-4.0,0.11693857378343689,8,845,7,138,2.0,[138],"[42, 43, 44, 45]",102,,,,7,0.01583692018617725,120,1,sgd,mse,120,recon,0.9147270257893162,0.005504324100629705,0.9179314072493466,0.8665898566350734,0.8912293695342841,True,0.9158545836344016,34.5,0.5917168886104008,0.5974740728509844,7290.0,5832.0,1e-10,COMPLETE
34,0.8999526758379575,leakyrelu,128,0.12238235057922939,11,3.0,0.1207561629396267,135,2.0,104,,,,7,0.007638911969791888,1,mse,recon,0.7462857332393643,True,1e-05,,,,,leakyrelu,128,0.12238235057922939,11,3.0,3.0,-3.0,0.1207561629396267,8,845,7,135,2.0,[135],,104,,,,7,0.007638911969791888,120,1,sgd,mse,120,recon,,,,,0.7462857332393643,True,,,,,,,1e-05,PRUNED
35,0.7603810912217914,leakyrelu,128,0.2215712395241898,11,3.0,0.0984737288096246,127,2.0,90,0.5006783281009829,,,7,0.015894562558721147,2,mse,recon+kl,0.43931848679872,False,1e-10,,,,,leakyrelu,128,0.2215712395241898,11,3.0,3.0,-3.0,0.0984737288096246,8,845,7,127,2.0,"[127, 63]",,90,0.49606299212598426,,,7,0.015894562558721147,120,2,sgd,mse,120,recon+kl,,,,,0.43931848679872,False,,,,,,,1e-10,PRUNED
36,0.7412530859493339,elu,128,0.16958244040097367,9,6.0,0.1426278664644449,193,5.0,105,,,,8,0.0007778805318921625,1,huber,recon,0.8017128604839712,True,1e-08,,,,,elu,128,0.16958244040097367,9,6.0,6.0,-6.0,0.1426278664644449,8,966,8,193,5.0,[193],,105,,,,8,0.0007778805318921625,120,1,sgd,huber,120,recon,,,,,0.8017128604839712,True,,,,,,,1e-08,PRUNED
37,0.6900581390972846,relu,512,0.14337335806007828,10,5.0,0.172308864979289,224,2.0,73,0.8250690674809299,0.9970725021651392,0.9939185905824888,6,0.00423381095002992,4,mse,recon+kl,0.8811044880124981,True,1e-05,,,,,relu,512,0.14337335806007828,10,5.0,5.0,-5.0,0.172308864979289,8,720,6,224,2.0,"[224, 184, 183, 181]",,73,0.8214285714285714,0.9945652173913043,0.9890710382513661,6,0.00423381095002992,120,4,sgd,mse,120,recon+kl,,,,,0.8811044880124981,True,,,,,,,1e-05,PRUNED
38,0.8086803438669579,leakyrelu,128,0.10101964870633884,6,4.0,0.07550773218314587,116,,97,,,,5,0.002049766831831809,1,mse,recon,0.5902270696718568,False,0.0001,,,,,leakyrelu,128,0.10101964870633884,6,4.0,4.0,-4.0,0.07550773218314587,8,604,5,116,,[116],,97,,,,5,0.002049766831831809,120,1,sgd,mse,120,recon,,,,,0.5902270696718568,False,,,,,,,0.0001,PRUNED
39,0.8504898709358142,elu,128,0.13445950021903103,12,3.0,0.11031911745530787,348,1.0,83,0.9404627444273532,,,7,0.010328855668873553,2,huber,recon,0.7239026200397508,True,1e-10,,,,,elu,128,0.13445950021903103,12,3.0,3.0,-3.0,0.11031911745530787,8,845,7,348,1.0,"[348, 327]",,83,0.9396551724137931,,,7,0.010328855668873553,120,2,sgd,huber,120,recon,,,,,0.7239026200397508,True,,,,,,,1e-10,PRUNED
40,0.8965658934858245,leakyrelu,256,0.3126208125997823,8,6.0,0.30652688707915876,819,5.0,112,0.7252168116450359,,,6,0.017304291385066152,2,mse,recon,0.5234881689684711,True,1e-06,,,,,leakyrelu,256,0.3126208125997823,8,6.0,6.0,-6.0,0.30652688707915876,8,720,6,819,5.0,"[819, 593]",,112,0.724053724053724,,,6,0.017304291385066152,120,2,sgd,mse,120,recon,,,,,0.5234881689684711,True,,,,,,,1e-06,PRUNED
