number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_prox_mu,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_prox_mu,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
23,0.7970059382179773,relu,64,1.1712839932545651,15,5.0,0.19364665473968357,805,,128,,,,2,0.01024417270827823,1,0.001887183823294609,mse,recon,0.649370625300421,True,0.0001,0.5604852561243863,0.5598404414836267,0.7940323667161548,0.7916409553224157,0.8146385393674933,0.8041407259931018,relu,fedprox,64,1.1712839932545651,15,5.0,5.0,-5.0,0.19364665473968357,5,805,,[805],"[42, 43, 44, 45]",128,,,,2,0.01024417270827823,1,sgd,0.001887183823294609,mse,120,recon,0.7970059382179773,0.006361370749892852,0.5597742299944866,0.004388417848241958,0.8043354530418241,0.7940323667161548,0.649370625300421,True,0.5604852561243863,0.5598404414836267,0.5604852561243863,0.0001,COMPLETE
24,0.7559528009694396,gelu,64,0.19143517713134714,15,8.0,0.20191659071085727,805,,127,,,,1,0.01115617599343454,1,0.0019850086860758414,mse,recon,0.6723475916251672,True,0.0001,,,,,,,gelu,fedprox,64,0.19143517713134714,15,8.0,8.0,-8.0,0.20191659071085727,10,805,,[805],"[42, 43, 44, 45]",127,,,,1,0.01115617599343454,1,sgd,0.0019850086860758414,mse,120,recon,,,,,,,0.6723475916251672,True,,,,0.0001,PRUNED
25,0.7523391002011512,relu,64,1.9263547785622261,13,3.0,0.0674511646529588,630,,96,,,,2,0.01935738740899977,1,0.0008197479276450488,mse,recon,0.6527014155097484,True,1e-06,,,,,,,relu,fedprox,64,1.9263547785622261,13,3.0,3.0,-3.0,0.0674511646529588,5,630,,[630],"[42, 43, 44, 45]",96,,,,2,0.01935738740899977,1,sgd,0.0008197479276450488,mse,120,recon,,,,,,,0.6527014155097484,True,,,,1e-06,PRUNED
26,0.761411073853918,elu,64,0.6092165171797918,14,5.0,0.1647669896081586,509,5.0,113,,,,5,0.011107328523902027,1,0.00028646801094618044,mse,recon+kl,0.9489035421320173,False,1e-10,,,,,,,elu,fedprox,64,0.6092165171797918,14,5.0,5.0,-5.0,0.1647669896081586,2,509,5.0,[509],"[42, 43, 44, 45]",113,,,,5,0.011107328523902027,1,sgd,0.00028646801094618044,mse,120,recon+kl,,,,,,,0.9489035421320173,False,,,,1e-10,PRUNED
27,0.777437164943992,leakyrelu,128,0.3164795824953532,15,5.0,0.2097390968857699,813,1.0,128,0.8444877721147848,0.853648935724546,,4,0.007053821716958161,3,0.0022416365904214977,mse,recon,0.511197634924211,True,1e-05,0.56363222822477,0.5576375423141986,0.7545254788396077,0.7591627792407811,0.7980963173710722,0.7953445355411042,leakyrelu,fedprox,128,0.3164795824953532,15,5.0,5.0,-5.0,0.2097390968857699,2,813,1.0,"[813, 686, 585]","[42, 43, 44, 45]",128,0.8437884378843789,0.8527696793002916,,4,0.007053821716958161,3,sgd,0.0022416365904214977,mse,120,recon,0.777437164943992,0.002876783536621011,0.557641614379583,0.006052749032373947,0.7763108981053399,0.7545254788396077,0.511197634924211,True,0.56363222822477,0.5576375423141986,0.56363222822477,1e-05,COMPLETE
28,0.762839619073425,gelu,256,0.20080291466084968,12,5.0,0.2550838420304765,1016,2.0,37,,,,2,0.0033824983968008208,1,0.005289731183719952,huber,recon,0.4134496315373948,True,0.0,,,,,,,gelu,fedprox,256,0.20080291466084968,12,5.0,5.0,-5.0,0.2550838420304765,5,1016,2.0,[1016],"[42, 43, 44, 45]",37,,,,2,0.0033824983968008208,1,sgd,0.005289731183719952,huber,120,recon,,,,,,,0.4134496315373948,True,,,,0.0,PRUNED
29,0.7070890747985195,relu,512,0.9614897121545602,9,6.0,0.18019247471109917,730,5.0,75,0.7193834396646676,0.9879786164261402,,1,0.005049907012842163,3,0.0011052250191617137,mse,recon,0.7051741994873876,False,0.0001,,,,,,,relu,fedprox,512,0.9614897121545602,9,6.0,6.0,-6.0,0.18019247471109917,10,730,5.0,"[730, 525, 518]","[42, 43, 44, 45]",75,0.7191780821917808,0.9866666666666667,,1,0.005049907012842163,3,sgd,0.0011052250191617137,mse,120,recon,,,,,,,0.7051741994873876,False,,,,0.0001,PRUNED
30,0.7294767610609645,elu,64,0.779908148903501,14,5.0,0.15120062496576886,933,,90,0.9267310037319154,,,8,0.01541859323472223,2,0.000554474580485901,mse,recon,0.5785754045659989,True,0.0001,,,,,,,elu,fedprox,64,0.779908148903501,14,5.0,5.0,-5.0,0.15120062496576886,2,933,,"[933, 864]","[42, 43, 44, 45]",90,0.9260450160771704,,,8,0.01541859323472223,2,sgd,0.000554474580485901,mse,120,recon,,,,,,,0.5785754045659989,True,,,,0.0001,PRUNED
31,0.7447029632640312,relu,64,1.1965951440746276,10,5.0,0.2684292822555101,858,,119,0.5722346445346524,,,2,0.009666121824136394,2,0.006289183058293547,mse,recon,0.2787335595133975,True,0.0001,,,,,,,relu,fedprox,64,1.1965951440746276,10,5.0,5.0,-5.0,0.2684292822555101,5,858,,"[858, 490]","[42, 43, 44, 45]",119,0.5710955710955711,,,2,0.009666121824136394,2,sgd,0.006289183058293547,mse,120,recon,,,,,,,0.2787335595133975,True,,,,0.0001,PRUNED
32,0.7808338701991377,relu,64,1.4887221035440947,12,5.0,0.333245513086977,672,,102,0.6192105971854556,,,3,0.005985473623773159,2,0.0019896870492237683,mse,recon,0.396082607799649,True,0.0001,0.5414004094527896,0.5358999752559551,0.7631429170876918,0.7683331880914344,0.7983531191609229,0.7923382340419727,relu,fedprox,64,1.4887221035440947,12,5.0,5.0,-5.0,0.333245513086977,3,672,,"[672, 416]","[42, 43, 44, 45]",102,0.6190476190476191,,,3,0.005985473623773159,2,sgd,0.0019896870492237683,mse,120,recon,0.7808338701991377,0.003266942949822263,0.5376722645364208,0.008103511801027542,0.7807480181243074,0.7631429170876918,0.396082607799649,True,0.5414004094527896,0.5358999752559551,0.5414004094527896,0.0001,COMPLETE
