number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
58,0.8364295142828648,gelu,512,0.1706167460523458,11,6.0,0.3828772498763693,896,,55,,,,6,0.0020910411928623668,1,mse,recon,0.5492614216464802,False,1e-06,0.82343932816625,0.8241267169121315,0.8473574677151368,0.8485241658998836,0.8076374611669028,0.7989111649976197,gelu,scaffold,512,0.1706167460523458,11,6.0,6.0,-6.0,0.3828772498763693,2,896,,[896],"[42, 43, 44, 45]",55,,,,6,0.0020910411928623668,1,sgd,mse,120,recon,0.8364295142828648,0.012903065369663364,0.7987266431033737,0.006650059025998953,0.8353983979406934,0.82343932816625,0.5492614216464802,False,0.8076374611669028,0.7989111649976197,0.8076374611669028,1e-06,COMPLETE
59,0.7813175124919793,gelu,512,0.22559196847397778,13,6.0,0.35166061241017854,752,,26,,,,5,0.0015104714209877154,1,mse,recon,0.6457864872184402,False,1e-06,0.761133286667758,0.771447788889077,0.7834016099623478,0.7916939803759966,0.8253646877075724,0.8172121440809046,gelu,scaffold,512,0.22559196847397778,13,6.0,6.0,-6.0,0.35166061241017854,2,752,,[752],"[42, 43, 44, 45]",26,,,,5,0.0015104714209877154,1,sgd,mse,120,recon,0.7813175124919793,0.016038476394434134,0.8172099536919433,0.002406085733938558,0.7722674483150529,0.761133286667758,0.6457864872184402,False,0.8253646877075724,0.8172121440809046,0.8253646877075724,1e-06,COMPLETE
60,0.7307082888787279,gelu,256,0.1157749076379672,15,6.0,0.2837452469612306,563,,42,,,,7,0.002234270073186843,1,mse,recon,0.5994966099741423,False,1e-06,,,,,,,gelu,scaffold,256,0.1157749076379672,15,6.0,6.0,-6.0,0.2837452469612306,2,563,,[563],"[42, 43, 44, 45]",42,,,,7,0.002234270073186843,1,sgd,mse,120,recon,,,,,,,0.5994966099741423,False,,,,1e-06,PRUNED
61,0.7947100430715733,gelu,512,0.14176165438057678,10,6.0,0.23469348256791164,643,,34,,,,4,0.0029531025929314977,1,mse,recon,0.4175414430590383,False,1e-10,,,,,,,gelu,scaffold,512,0.14176165438057678,10,6.0,6.0,-6.0,0.23469348256791164,2,643,,[643],"[42, 43, 44, 45]",34,,,,4,0.0029531025929314977,1,sgd,mse,120,recon,,,,,,,0.4175414430590383,False,,,,1e-10,PRUNED
62,0.8620542573164283,gelu,512,0.1615558502842353,9,6.0,0.26072811407793794,699,,37,,,,5,0.004200852569453976,1,mse,recon,0.36570387692527323,False,1e-10,0.8853243163399135,0.8852086385177282,0.8407211054472651,0.8383573799819735,0.7649205085795037,0.7566947401028523,gelu,scaffold,512,0.1615558502842353,9,6.0,6.0,-6.0,0.26072811407793794,2,699,,[699],"[42, 43, 44, 45]",37,,,,5,0.004200852569453976,1,sgd,mse,120,recon,0.8620542573164283,0.0043347615002265315,0.7560501042213529,0.007340540299026485,0.8630227108935893,0.8407211054472651,0.36570387692527323,False,0.7649205085795037,0.7566947401028523,0.7649205085795037,1e-10,COMPLETE
63,0.8175378358086787,gelu,512,0.19356109153268602,11,3.0,0.24633229723128777,857,,47,,,,6,0.0070197693533368185,1,mse,recon,0.48365685592785324,False,1e-10,,,,,,,gelu,scaffold,512,0.19356109153268602,11,3.0,3.0,-3.0,0.24633229723128777,2,857,,[857],"[42, 43, 44, 45]",47,,,,6,0.0070197693533368185,1,sgd,mse,120,recon,,,,,,,0.48365685592785324,False,,,,1e-10,PRUNED
64,0.6248821600139998,gelu,512,0.13251337383468034,12,6.0,0.21974855486875824,623,,35,,,,4,0.0003204814133341686,1,mse,recon,0.4284738286970354,False,0.0001,,,,,,,gelu,scaffold,512,0.13251337383468034,12,6.0,6.0,-6.0,0.21974855486875824,2,623,,[623],"[42, 43, 44, 45]",35,,,,4,0.0003204814133341686,1,sgd,mse,120,recon,,,,,,,0.4284738286970354,False,,,,0.0001,PRUNED
65,0.8603923989210467,gelu,128,0.11609760352129754,10,6.0,0.33277198330264257,676,1.0,26,,,,5,0.001209661284170578,1,mse,recon,0.39726210324038636,False,1e-10,0.8819448819342128,0.8805652197280602,0.8404054824524265,0.8387282025427093,0.7536414766643899,0.7489808811090977,gelu,scaffold,128,0.11609760352129754,10,6.0,6.0,-6.0,0.33277198330264257,2,676,1.0,[676],"[42, 43, 44, 45]",26,,,,5,0.001209661284170578,1,sgd,mse,120,recon,0.8603923989210467,0.007772088431788745,0.7482320473956658,0.007460055297223425,0.8611751821933197,0.8404054824524265,0.39726210324038636,False,0.7536414766643899,0.7489808811090977,0.7536414766643899,1e-10,COMPLETE
66,0.6125307771699963,gelu,512,0.15791914537199975,14,6.0,0.2844834890666971,1013,,41,0.8120256177629226,0.8094787742816207,,2,0.005608764592281788,3,mse,recon,0.465168436410805,False,1e-08,,,,,,,gelu,scaffold,512,0.15791914537199975,14,6.0,6.0,-6.0,0.2844834890666971,5,1013,,"[1013, 822, 665]","[42, 43, 44, 45]",41,0.8114511352418559,0.8090024330900243,,2,0.005608764592281788,3,sgd,mse,120,recon,,,,,,,0.465168436410805,False,,,,1e-08,PRUNED
67,0.7226315750478416,gelu,512,0.13582097404658494,10,6.0,0.2965134495237071,964,,52,,,,4,0.0047279920307655805,1,mse,recon,0.6176179504394455,False,1e-10,,,,,,,gelu,scaffold,512,0.13582097404658494,10,6.0,6.0,-6.0,0.2965134495237071,2,964,,[964],"[42, 43, 44, 45]",52,,,,4,0.0047279920307655805,1,sgd,mse,120,recon,,,,,,,0.6176179504394455,False,,,,1e-10,PRUNED
68,0.690765326019257,gelu,512,0.11137385474183363,11,6.0,0.24484818520968069,450,,92,,,,6,0.0038386861777188392,1,mse,recon+kl,0.5444399589338801,False,1e-10,,,,,,,gelu,scaffold,512,0.11137385474183363,11,6.0,6.0,-6.0,0.24484818520968069,2,450,,[450],"[42, 43, 44, 45]",92,,,,6,0.0038386861777188392,1,sgd,mse,120,recon+kl,,,,,,,0.5444399589338801,False,,,,1e-10,PRUNED
69,0.5696732959891126,gelu,256,0.21286891873486166,14,3.0,0.27257871798982874,750,5.0,127,0.7585141349267653,0.5781210306945079,,8,0.002340609242297283,3,huber,recon,0.33983714544705274,False,1e-06,0.5507164294813536,0.5511189300646733,0.5863193656492441,0.5883148658552878,0.8401691062601492,0.831910447843693,gelu,scaffold,256,0.21286891873486166,14,3.0,3.0,-3.0,0.27257871798982874,2,750,5.0,"[750, 568, 328]","[42, 43, 44, 45]",127,0.7573333333333333,0.5774647887323944,,8,0.002340609242297283,3,sgd,huber,120,recon,0.5696732959891126,0.00013817100537669207,0.8317680725612062,0.0010346269814356045,0.5685178975652989,0.5507164294813536,0.33983714544705274,False,0.8401691062601492,0.831910447843693,0.8401691062601492,1e-06,COMPLETE
70,0.7946371575113701,gelu,512,0.18219755060826254,9,6.0,0.21720123125312052,580,,73,,,,3,0.002909649248000294,1,mse,recon,0.5126776236713908,False,1e-10,,,,,,,gelu,scaffold,512,0.18219755060826254,9,6.0,6.0,-6.0,0.21720123125312052,3,580,,[580],"[42, 43, 44, 45]",73,,,,3,0.002909649248000294,1,sgd,mse,120,recon,,,,,,,0.5126776236713908,False,,,,1e-10,PRUNED
71,0.8584599466356566,gelu,512,0.15727195078995038,9,6.0,0.2514935509434911,694,,38,,,,5,0.0045751794232580635,1,mse,recon,0.37496409170630013,False,1e-10,,,,,,,gelu,scaffold,512,0.15727195078995038,9,6.0,6.0,-6.0,0.2514935509434911,2,694,,[694],"[42, 43, 44, 45]",38,,,,5,0.0045751794232580635,1,sgd,mse,120,recon,,,,,,,0.37496409170630013,False,,,,1e-10,PRUNED
72,0.8627421423544663,gelu,512,0.17016272854820086,12,6.0,0.2614252618239753,721,,45,,,,5,0.0041671470864249405,1,mse,recon,0.44871976685560605,False,1e-10,0.8878968502618352,0.8863880527189284,0.8404625160648126,0.8387211168549283,0.7604267453960081,0.7532265899460147,gelu,scaffold,512,0.17016272854820086,12,6.0,6.0,-6.0,0.2614252618239753,2,721,,[721],"[42, 43, 44, 45]",45,,,,5,0.0041671470864249405,1,sgd,mse,120,recon,0.8627421423544663,0.00759070716141134,0.7524928243445651,0.004177619312385728,0.8641796831633239,0.8404625160648126,0.44871976685560605,False,0.7604267453960081,0.7532265899460147,0.7604267453960081,1e-10,COMPLETE
73,0.8602282153028276,gelu,512,0.10914168481351057,12,6.0,0.2972957687221681,524,,45,,,,6,0.0033982458555067425,1,mse,recon,0.44153629776564374,False,1e-10,0.8824796920072031,0.8804105547464347,0.8400733853805032,0.8394655550898407,0.7551613631616679,0.7472284376346574,gelu,scaffold,512,0.10914168481351057,12,6.0,6.0,-6.0,0.2972957687221681,2,524,,[524],"[42, 43, 44, 45]",45,,,,6,0.0033982458555067425,1,sgd,mse,120,recon,0.8602282153028276,0.006733264353838509,0.7484856914972687,0.031860125411064914,0.8612765386938532,0.8400733853805032,0.44153629776564374,False,0.7551613631616679,0.7472284376346574,0.7551613631616679,1e-10,COMPLETE
74,0.8636495514083408,gelu,128,0.13204796563886728,13,6.0,0.32323476150656527,667,,21,,,,4,0.005841459278802227,1,mse,recon,0.4919746339037162,False,0.0001,0.9372071311773085,0.9368751658227348,0.7850792656193255,0.789024895872731,0.5760744466460059,0.5761597506825782,gelu,scaffold,128,0.13204796563886728,13,6.0,6.0,-6.0,0.32323476150656527,2,667,,[667],"[42, 43, 44, 45]",21,,,,4,0.005841459278802227,1,sgd,mse,120,recon,0.8636495514083408,0.017000892237585035,0.5750887092828744,0.0841160259265546,0.861143198398317,0.7850792656193255,0.4919746339037162,False,0.5760744466460059,0.5761597506825782,0.5760744466460059,0.0001,COMPLETE
