number,value,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_epochs_matched,user_attrs_epochs_per_round,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_max_rounds,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_train__best_metric,user_attrs_train__history_len,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_n,user_attrs_unseen_val_n,user_attrs_weight_decay,state
18,0.7588436733804882,gelu,256,1.0362077597035446,9,4.0,0.19738598477350086,687,1.0,78,,,,6,0.000874332448686608,1,huber,recon+kl,0.6897425015134128,True,1e-06,,,,,gelu,256,1.0362077597035446,9,4.0,4.0,-4.0,0.19738598477350086,8,720,6,687,1.0,[687],,78,,,,6,0.000874332448686608,120,1,sgd,huber,120,recon+kl,,,,,0.6897425015134128,True,,,,,,,1e-06,PRUNED
19,0.8537833927002245,leakyrelu,256,0.35454912841217584,13,4.0,0.05537537701436379,1011,2.0,8,0.5169406111623707,,,4,0.004292975007956923,2,mse,recon,0.8341506537752585,True,1e-06,0.8745617575610463,0.8735696613076522,0.8418001527921255,0.8339971240927968,leakyrelu,256,0.35454912841217584,13,4.0,4.0,-4.0,0.05537537701436379,8,480,4,1011,2.0,"[1011, 522]","[42, 43, 44, 45]",8,0.516320474777448,,,4,0.004292975007956923,120,2,sgd,mse,120,recon,0.8537833927002245,0.0017477125218440539,0.8581809551765859,0.8418001527921255,0.8341506537752585,True,0.8528411799828204,15.25,0.4495011675802206,0.4557305191215958,7290.0,5832.0,1e-06,COMPLETE
20,0.8525385975936182,leakyrelu,256,0.33920640555844794,13,4.0,0.05475114620737441,889,2.0,31,0.519946128465242,,,3,0.004909555624620458,2,mse,recon,0.8065893995677855,True,1e-06,0.8721207528211035,0.8695542373236165,0.8443875049158797,0.8355229578636197,leakyrelu,256,0.33920640555844794,13,4.0,4.0,-4.0,0.05475114620737441,8,360,3,889,2.0,"[889, 462]","[42, 43, 44, 45]",31,0.5196850393700787,,,3,0.004909555624620458,120,2,sgd,mse,120,recon,0.8525385975936182,0.0019004358169414297,0.8582541288684915,0.8443875049158797,0.8065893995677855,True,0.8536725060966317,24.75,0.4336762312279256,0.43902681871082583,7290.0,5832.0,1e-06,COMPLETE
21,0.8500292497779622,leakyrelu,256,0.3299967353710229,14,4.0,0.06934456787099826,884,2.0,11,0.5022166581183061,,,3,0.005613413027028982,2,mse,recon,0.8041830452983305,True,1e-06,0.8683850794349701,0.8688968854256633,0.8423355367764249,0.8311616141302609,leakyrelu,256,0.3299967353710229,14,4.0,4.0,-4.0,0.06934456787099826,8,360,3,884,2.0,"[884, 443]","[42, 43, 44, 45]",11,0.501131221719457,,,3,0.005613413027028982,120,2,sgd,mse,120,recon,0.8500292497779622,0.002519998213180709,0.8553603081056975,0.8423355367764249,0.8041830452983305,True,0.8498305491578557,17.75,0.433868416249405,0.44007946966361267,7290.0,5832.0,1e-06,COMPLETE
22,0.7829710282985317,leakyrelu,256,0.21796238897493636,13,4.0,0.05356349307538105,890,2.0,30,0.5709044830312454,,,3,0.0032365007387861384,2,mse,recon,0.6363786994855485,True,1e-06,,,,,leakyrelu,256,0.21796238897493636,13,4.0,4.0,-4.0,0.05356349307538105,8,360,3,890,2.0,"[890, 508]",,30,0.5707865168539326,,,3,0.0032365007387861384,120,2,sgd,mse,120,recon,,,,,0.6363786994855485,True,,,,,,,1e-06,PRUNED
23,0.8575135368977929,leakyrelu,256,0.18250295427602434,10,4.0,0.10894375890505806,750,2.0,9,0.6923065195936484,,,4,0.008142569172073235,2,mse,recon,0.8297462201799011,True,1e-06,0.8831954817185727,0.8821068566407183,0.8418462632728752,0.8329202171548675,leakyrelu,256,0.18250295427602434,10,4.0,4.0,-4.0,0.10894375890505806,8,480,4,750,2.0,"[750, 519]","[42, 43, 44, 45]",9,0.692,,,4,0.008142569172073235,120,2,sgd,mse,120,recon,0.8575135368977929,0.0037718257343507416,0.8625208724957238,0.8418462632728752,0.8297462201799011,True,0.8578720330078974,12.75,0.4348477253354559,0.4379159386931004,7290.0,5832.0,1e-06,COMPLETE
24,0.8299221479900873,leakyrelu,256,0.17476681382730888,10,4.0,0.11008889378857167,748,2.0,8,0.6851485950713684,,,4,0.007453448455458264,2,mse,recon,0.40206144880026873,True,1e-06,,,,,leakyrelu,256,0.17476681382730888,10,4.0,4.0,-4.0,0.11008889378857167,8,480,4,748,2.0,"[748, 512]",,8,0.6844919786096256,,,4,0.007453448455458264,120,2,sgd,mse,120,recon,,,,,0.40206144880026873,True,,,,,,,1e-06,PRUNED
25,0.8471989585273811,leakyrelu,256,0.1793371583953555,8,3.0,0.04620653660431345,456,2.0,23,0.5386093113228688,,,2,0.011322007022850446,2,mse,recon,0.8722975890576051,True,1e-08,0.8699470119919239,0.8667304437369341,0.8366302656362606,0.8276674733178283,leakyrelu,256,0.1793371583953555,8,3.0,3.0,-3.0,0.04620653660431345,8,240,2,456,2.0,"[456, 245]","[42, 43, 44, 45]",23,0.5372807017543859,,,2,0.011322007022850446,120,2,sgd,mse,120,recon,0.8471989585273811,0.0013943623012202585,0.8532886388140923,0.8366302656362606,0.8722975890576051,True,0.847706437838349,24.75,0.46303681876257197,0.4701229769626356,7290.0,5832.0,1e-08,COMPLETE
26,0.7480515828662071,leakyrelu,256,0.12205811773012334,11,8.0,0.1894465612061031,636,2.0,10,0.7079909783035786,,,4,0.002028153851430131,2,huber,recon+kl,0.8531958250905239,False,0.0001,,,,,leakyrelu,256,0.12205811773012334,11,8.0,8.0,-8.0,0.1894465612061031,8,480,4,636,2.0,"[636, 450]",,10,0.7075471698113207,,,4,0.002028153851430131,120,2,sgd,huber,120,recon+kl,,,,,0.8531958250905239,False,,,,,,,0.0001,PRUNED
27,0.763122458560781,leakyrelu,64,0.33090340831004855,7,4.0,0.03236363314195338,973,2.0,24,0.6234946171221122,0.9863409374405039,,2,0.006453710820546641,3,mse,recon,0.6216978419530176,True,0.0,,,,,leakyrelu,64,0.33090340831004855,7,4.0,4.0,-4.0,0.03236363314195338,8,241,2,973,2.0,"[973, 606, 597]",,24,0.6228160328879754,0.9851485148514851,,2,0.006453710820546641,120,3,sgd,mse,120,recon,,,,,0.6216978419530176,True,,,,,,,0.0,PRUNED
