number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
20,0.7587575572829346,relu,128,0.7632115434115051,14,4.0,0.058162869617297164,161,5.0,42,,,,1,0.018821642868676457,1,mse,recon,0.6641031942956139,False,0.0001,,,,,,,relu,fedavg,128,0.7632115434115051,14,4.0,4.0,-4.0,0.058162869617297164,10,161,5.0,[161],"[42, 43, 44, 45]",42,,,,1,0.018821642868676457,1,sgd,mse,120,recon,,,,,,,0.6641031942956139,False,,,,0.0001,PRUNED
21,0.7968147349023692,relu,256,0.6156601291404606,15,4.0,0.0013120248959703012,297,5.0,71,,,,1,0.01922809134439617,1,mse,recon,0.9306588448819252,False,0.0001,0.5402626349867625,0.5382824716196153,0.7811537310820956,0.7783059849305943,0.8258152645354799,0.8132555665868837,relu,fedavg,256,0.6156601291404606,15,4.0,4.0,-4.0,0.0013120248959703012,10,297,5.0,[297],"[42, 43, 44, 45]",71,,,,1,0.01922809134439617,1,sgd,mse,120,recon,0.7968147349023692,0.0040846302936345625,0.5382989803901091,0.0016248910079650128,0.8034844978087878,0.7811537310820956,0.9306588448819252,False,0.5402626349867625,0.5382824716196153,0.5402626349867625,0.0001,COMPLETE
22,0.7396212020713493,relu,256,0.37720971590310787,15,4.0,0.004464198041579983,448,5.0,78,,,,1,0.008550197962271527,1,mse,recon,0.8699110067821787,False,0.0001,,,,,,,relu,fedavg,256,0.37720971590310787,15,4.0,4.0,-4.0,0.004464198041579983,10,448,5.0,[448],"[42, 43, 44, 45]",78,,,,1,0.008550197962271527,1,sgd,mse,120,recon,,,,,,,0.8699110067821787,False,,,,0.0001,PRUNED
23,0.7160164827798382,relu,256,0.5558914035171896,13,4.0,0.029280047953498794,286,5.0,64,0.6905159656370796,,,2,0.01394963023446509,2,mse,recon,0.7858314657747731,False,0.0001,,,,,,,relu,fedavg,256,0.5558914035171896,13,4.0,4.0,-4.0,0.029280047953498794,5,286,5.0,"[286, 197]","[42, 43, 44, 45]",64,0.6888111888111889,,,2,0.01394963023446509,2,sgd,mse,120,recon,,,,,,,0.7858314657747731,False,,,,0.0001,PRUNED
24,0.7502728430813581,relu,256,1.4845890139475528,11,3.0,0.07010124256946446,489,5.0,36,,,,3,0.0088419606999011,1,mse,recon,0.8716452822395624,False,0.0001,,,,,,,relu,fedavg,256,1.4845890139475528,11,3.0,3.0,-3.0,0.07010124256946446,3,489,5.0,[489],"[42, 43, 44, 45]",36,,,,3,0.0088419606999011,1,sgd,mse,120,recon,,,,,,,0.8716452822395624,False,,,,0.0001,PRUNED
25,0.7495508673587472,relu,256,0.861888627049495,14,8.0,0.18350692964862392,372,5.0,58,,,,1,0.014414072326263135,1,mse,recon,0.9430967689127893,False,1e-08,,,,,,,relu,fedavg,256,0.861888627049495,14,8.0,8.0,-8.0,0.18350692964862392,10,372,5.0,[372],"[42, 43, 44, 45]",58,,,,1,0.014414072326263135,1,sgd,mse,120,recon,,,,,,,0.9430967689127893,False,,,,1e-08,PRUNED
26,0.6853560943265574,relu,256,0.4667478017406077,13,4.0,0.0019885113967193927,162,2.0,86,0.8617353839028502,,,2,0.0056313026968009385,2,huber,recon+kl,0.7545451734882388,True,1e-05,,,,,,,relu,fedavg,256,0.4667478017406077,13,4.0,4.0,-4.0,0.0019885113967193927,5,162,2.0,"[162, 139]","[42, 43, 44, 45]",86,0.8580246913580247,,,2,0.0056313026968009385,2,sgd,huber,120,recon+kl,,,,,,,0.7545451734882388,True,,,,1e-05,PRUNED
27,0.7990878000215452,gelu,256,0.6277681518545191,15,4.0,0.1077886509712909,218,1.0,70,,,,4,0.018316620711511356,1,mse,recon,0.39950081620942396,False,0.0,0.5450081382505301,0.5425358688687926,0.7891003516853234,0.7861180880144738,0.8231812750615778,0.8107291660786429,gelu,fedavg,256,0.6277681518545191,15,4.0,4.0,-4.0,0.1077886509712909,2,218,1.0,[218],"[42, 43, 44, 45]",70,,,,4,0.018316620711511356,1,sgd,mse,120,recon,0.7990878000215452,0.0034218430878377223,0.5426128852967685,0.006725841092270597,0.8061408133734507,0.7891003516853234,0.39950081620942396,False,0.5450081382505301,0.5425358688687926,0.5450081382505301,0.0,COMPLETE
28,0.6839330250794537,gelu,128,0.3628826272383328,10,4.0,0.12463706277606547,223,1.0,102,0.6982504206634629,,,4,0.0008323909072287066,2,mse,recon,0.3582858182908288,False,0.0,0.5410650006303617,0.538253232132071,0.5745952702181427,0.5769572580728624,0.7912936431325397,0.7906983236379954,gelu,fedavg,128,0.3628826272383328,10,4.0,4.0,-4.0,0.12463706277606547,2,223,1.0,"[223, 155]","[42, 43, 44, 45]",102,0.695067264573991,,,4,0.0008323909072287066,2,sgd,mse,120,recon,0.6839330250794537,0.0008943816714197781,0.5386613060057467,0.002055767369896908,0.6829444566753412,0.5745952702181427,0.3582858182908288,False,0.5410650006303617,0.538253232132071,0.5410650006303617,0.0,COMPLETE
29,0.782354191246065,gelu,64,0.8811746697429993,7,4.0,0.16120312071550502,372,1.0,96,,,,6,0.006620443967366561,1,mse,recon,0.0909810492308264,False,0.0,,,,,,,gelu,fedavg,64,0.8811746697429993,7,4.0,4.0,-4.0,0.16120312071550502,2,372,1.0,[372],"[42, 43, 44, 45]",96,,,,6,0.006620443967366561,1,sgd,mse,120,recon,,,,,,,0.0909810492308264,False,,,,0.0,PRUNED
