number,value,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_server_beta1,params_server_beta2,params_server_lr,params_server_tau,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_server_beta1,user_attrs_server_beta2,user_attrs_server_bias_correction,user_attrs_server_lr,user_attrs_server_tau,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
10,0.7175178547571602,relu,512,1.881242354304735,9,6.0,0.21819743030341407,78,,110,0.5293378065290024,0.7858680748824882,,1,0.0065356418161088715,3,mse,recon,0.8932555880693748,0.9844407985150414,0.006792421801981294,0.00010178744576820926,0.9454860444417856,False,1e-08,,,,,,,relu,fedadam,512,1.881242354304735,9,6.0,6.0,-6.0,0.21819743030341407,10,78,,"[78, 41, 32]","[42, 43, 44, 45]",110,0.5256410256410257,0.7804878048780488,,1,0.0065356418161088715,3,sgd,mse,120,recon,,,,,,,0.8932555880693748,0.9844407985150414,True,0.006792421801981294,0.00010178744576820926,0.9454860444417856,False,,,,1e-08,PRUNED
11,0.7258860226252775,leakyrelu,256,0.10374848100380465,9,5.0,0.32054445268164433,624,2.0,104,0.9852200601013981,,,1,0.018159546882195857,2,mse,recon+kl,0.9135555117217683,0.9711914693109126,0.005348197217650832,0.00020165612566899632,0.3772840603262459,True,1e-06,,,,,,,leakyrelu,fedadam,256,0.10374848100380465,9,5.0,5.0,-5.0,0.32054445268164433,10,624,2.0,"[624, 614]","[42, 43, 44, 45]",104,0.9839743589743589,,,1,0.018159546882195857,2,sgd,mse,120,recon+kl,,,,,,,0.9135555117217683,0.9711914693109126,True,0.005348197217650832,0.00020165612566899632,0.3772840603262459,True,,,,1e-06,PRUNED
12,0.7180637908300262,leakyrelu,256,0.24504112413272375,11,6.0,0.27447904702784975,695,2.0,91,0.8949049724359346,,,2,0.008855625247666234,2,mse,recon+kl,0.9023062517153226,0.9823923201634709,0.019553500297264447,0.0014204075097797653,0.21014307146261918,False,1e-06,0.536581135064852,0.536108150410864,0.6377429009052746,0.6432033671188335,0.7964775675945213,0.7928895799345552,leakyrelu,fedadam,256,0.24504112413272375,11,6.0,6.0,-6.0,0.27447904702784975,5,695,2.0,"[695, 621]","[42, 43, 44, 45]",91,0.8935251798561151,,,2,0.008855625247666234,2,sgd,mse,120,recon+kl,0.7180637908300262,0.005713296550044267,0.5354605156075651,0.0040959280905547325,0.717110234249898,0.6377429009052746,0.9023062517153226,0.9823923201634709,True,0.019553500297264447,0.0014204075097797653,0.21014307146261918,False,0.536581135064852,0.536108150410864,0.536581135064852,1e-06,COMPLETE
13,0.707856416563645,relu,256,1.7680638952515997,6,5.0,0.17978808679224537,721,2.0,34,0.852023530888813,,,2,0.0023676604762512604,2,mse,recon+kl,0.9226414277681988,0.9869462878078686,0.009364875804075417,0.00021164660984852022,0.46920271926858204,True,0.0,,,,,,,relu,fedadam,256,1.7680638952515997,6,5.0,5.0,-5.0,0.17978808679224537,5,721,2.0,"[721, 614]","[42, 43, 44, 45]",34,0.8515950069348127,,,2,0.0023676604762512604,2,sgd,mse,120,recon+kl,,,,,,,0.9226414277681988,0.9869462878078686,True,0.009364875804075417,0.00021164660984852022,0.46920271926858204,True,,,,0.0,PRUNED
14,0.7193170902320295,leakyrelu,512,0.17057474480419882,11,6.0,0.38764980867512683,850,5.0,8,0.6243545573738416,0.6797149528701024,,3,0.009182177541226785,3,mse,recon,0.8873259398026714,0.979515306391753,0.00443431840987974,0.0012031375347202466,0.7514313440822908,False,1e-05,0.5409109665983618,0.5403498459847847,0.6496097497182189,0.6533695797134584,0.785112693600983,0.7860523028426486,leakyrelu,fedadam,512,0.17057474480419882,11,6.0,6.0,-6.0,0.38764980867512683,3,850,5.0,"[850, 530, 360]","[42, 43, 44, 45]",8,0.6235294117647059,0.6792452830188679,,3,0.009182177541226785,3,sgd,mse,120,recon,0.7193170902320295,0.005694597033148367,0.5401454341827221,0.001985473787710264,0.717361221659601,0.6496097497182189,0.8873259398026714,0.979515306391753,True,0.00443431840987974,0.0012031375347202466,0.7514313440822908,False,0.5409109665983618,0.5403498459847847,0.5409109665983618,1e-05,COMPLETE
15,0.7674841845096634,relu,256,1.2683711258457415,4,8.0,0.24018235696195628,512,2.0,47,,,,1,0.00385497814775382,1,mse,recon+kl,0.8813437193721777,0.9743149650966358,0.018937344105923303,0.00018722321532076803,0.9385127156766905,True,1e-08,,,,,,,relu,fedadam,256,1.2683711258457415,4,8.0,8.0,-8.0,0.24018235696195628,10,512,2.0,[512],"[42, 43, 44, 45]",47,,,,1,0.00385497814775382,1,sgd,mse,120,recon+kl,,,,,,,0.8813437193721777,0.9743149650966358,True,0.018937344105923303,0.00018722321532076803,0.9385127156766905,True,,,,1e-08,PRUNED
16,0.794272707659458,leakyrelu,64,0.495580477246397,7,5.0,0.33212205012645135,545,,127,0.51601066688638,,,2,0.002252956618367752,2,mse,recon,0.9251958116105337,0.9708505259489338,0.0066608777649189215,0.0002359796148883931,0.6092836360588225,False,0.0001,0.5055128885426605,0.5016323689976874,0.7768969368189507,0.7788921418370054,0.8150367773656907,0.8080277843636453,leakyrelu,fedadam,64,0.495580477246397,7,5.0,5.0,-5.0,0.33212205012645135,5,545,,"[545, 281]","[42, 43, 44, 45]",127,0.5155963302752293,,,2,0.002252956618367752,2,sgd,mse,120,recon,0.794272707659458,0.03266365531275226,0.5017111641979072,0.0025282180044198014,0.7959668570923206,0.7768969368189507,0.9251958116105337,0.9708505259489338,True,0.0066608777649189215,0.0002359796148883931,0.6092836360588225,False,0.5055128885426605,0.5016323689976874,0.5055128885426605,0.0001,COMPLETE
17,0.7374586780917354,relu,64,0.4985963995723979,7,6.0,0.15416985254018176,530,,124,0.5119638088504386,0.9021974219324538,,3,0.001633010932545078,3,mse,recon,0.9057200615683081,0.9703761869650555,0.005224234047418285,0.00015140115805205772,0.721426440221554,False,0.0001,0.5508742550913459,0.5479790736412886,0.6779517105379524,0.6822679693042125,0.7947257738864709,0.7912139911815235,relu,fedadam,64,0.4985963995723979,7,6.0,6.0,-6.0,0.15416985254018176,3,530,,"[530, 271, 244]","[42, 43, 44, 45]",124,0.5113207547169811,0.9003690036900369,,3,0.001633010932545078,3,sgd,mse,120,recon,0.7374586780917354,0.011315064530257853,0.5489466228377187,0.013416403608312543,0.7363387422122116,0.6779517105379524,0.9057200615683081,0.9703761869650555,True,0.005224234047418285,0.00015140115805205772,0.721426440221554,False,0.5508742550913459,0.5479790736412886,0.5508742550913459,0.0001,COMPLETE
18,0.697679134419437,relu,64,0.36421183392366047,8,5.0,0.0015058045513411111,94,,100,0.5880665512476763,,,2,0.0006536458840537585,2,huber,recon,0.9304466537163282,0.98743653225207,0.007055810554326675,0.0002741970376057854,0.6123338492007893,False,0.0001,,,,,,,relu,fedadam,64,0.36421183392366047,8,5.0,5.0,-5.0,0.0015058045513411111,5,94,,"[94, 55]","[42, 43, 44, 45]",100,0.5851063829787234,,,2,0.0006536458840537585,2,sgd,huber,120,recon,,,,,,,0.9304466537163282,0.98743653225207,True,0.007055810554326675,0.0002741970376057854,0.6123338492007893,False,,,,0.0001,PRUNED
19,0.706075814095544,leakyrelu,64,0.5831122698470594,3,6.0,0.3399894333771858,314,,92,0.6411945081279448,0.8586275564565087,,4,0.002440554865175075,3,mse,recon,0.8785498540258772,0.9800333422588954,0.0010178815105848739,0.004413285901405695,0.8379289631047416,False,0.0001,0.5532099141767384,0.5525887104589221,0.6206190809516013,0.6253253683146389,0.7869857801712703,0.786989715815114,leakyrelu,fedadam,64,0.5831122698470594,3,6.0,6.0,-6.0,0.3399894333771858,2,314,,"[314, 201, 172]","[42, 43, 44, 45]",92,0.6401273885350318,0.8557213930348259,,4,0.002440554865175075,3,sgd,mse,120,recon,0.706075814095544,0.0006467157494056575,0.5526288136876906,0.0006860194508067767,0.7038024305614359,0.6206190809516013,0.8785498540258772,0.9800333422588954,True,0.0010178815105848739,0.004413285901405695,0.8379289631047416,False,0.5532099141767384,0.5525887104589221,0.5532099141767384,0.0001,COMPLETE
