number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
10,0.8717927486894124,relu,256,0.6268538043409331,15,4.0,0.003224457361608174,319,5.0,74,,,,1,0.015934288792024562,1,mse,recon,0.9369746035816005,False,0.0001,0.9256785607433374,0.9274251663166748,0.5199505495435994,0.5167859796524921,0.8273638465982113,0.8190624641305432,relu,fedavg,256,0.6268538043409331,15,4.0,4.0,-4.0,0.003224457361608174,10,319,5.0,[319],"[42, 43, 44, 45]",74,,,,1,0.015934288792024562,1,sgd,mse,120,recon,0.8717927486894124,0.0044914611181704435,0.5196988882585273,0.013377173736544548,0.8765212036707744,0.8273638465982113,0.9369746035816005,False,0.5199505495435994,0.5167859796524921,0.5199505495435994,0.0001,COMPLETE
11,0.8515715996695776,relu,256,0.6356616837545555,15,4.0,0.0008662977657382942,314,5.0,70,,,,1,0.01944950736616424,1,mse,recon,0.9219181141926562,False,0.0001,,,,,,,relu,fedavg,256,0.6356616837545555,15,4.0,4.0,-4.0,0.0008662977657382942,10,314,5.0,[314],"[42, 43, 44, 45]",70,,,,1,0.01944950736616424,1,sgd,mse,120,recon,,,,,,,0.9219181141926562,False,,,,0.0001,PRUNED
12,0.748731081213625,relu,256,0.7260850908483795,8,4.0,0.023797201863291484,327,5.0,92,0.5000739262124223,,,2,0.014370330328777206,2,mse,recon,0.7477290010119052,False,0.0001,0.6897478835844431,0.682917338777964,0.6042681407719765,0.6113132590212271,0.8165284293082393,0.8140989398399822,relu,fedavg,256,0.7260850908483795,8,4.0,4.0,-4.0,0.023797201863291484,5,327,5.0,"[327, 163]","[42, 43, 44, 45]",92,0.4984709480122324,,,2,0.014370330328777206,2,sgd,mse,120,recon,0.748731081213625,0.005945468694682878,0.6127225758597851,0.0011072441590755297,0.7531381564463412,0.6897478835844431,0.7477290010119052,False,0.6042681407719765,0.6113132590212271,0.6042681407719765,0.0001,COMPLETE
13,0.8633382662656814,relu,256,0.3315608110875512,15,6.0,0.1651144299614338,253,5.0,54,,,,3,0.0039576496260195874,1,mse,recon,0.9245450855032012,False,0.0001,0.9115568238054648,0.9122560759331704,0.5732347334887598,0.5779334071185701,0.8203764105516888,0.8126052856761146,relu,fedavg,256,0.3315608110875512,15,6.0,6.0,-6.0,0.1651144299614338,3,253,5.0,[253],"[42, 43, 44, 45]",54,,,,3,0.0039576496260195874,1,sgd,mse,120,recon,0.8633382662656814,0.005438115745696668,0.5778158023421227,0.005793007439870414,0.8659666171785767,0.8203764105516888,0.9245450855032012,False,0.5732347334887598,0.5779334071185701,0.5732347334887598,0.0001,COMPLETE
14,0.7877504349612657,gelu,256,0.2578587727409881,15,4.0,0.19678894987779835,198,5.0,45,,,,3,0.008887298128727369,1,mse,recon,0.0012889620887366893,False,0.0001,0.7643885962882051,0.7703778059323614,0.617294036402912,0.6219783804787361,0.806932782754812,0.8056089334234657,gelu,fedavg,256,0.2578587727409881,15,4.0,4.0,-4.0,0.19678894987779835,3,198,5.0,[198],"[42, 43, 44, 45]",45,,,,3,0.008887298128727369,1,sgd,mse,120,recon,0.7877504349612657,0.018296267561503175,0.6210802916033953,0.020728256798855864,0.7856606895215086,0.7643885962882051,0.0012889620887366893,False,0.617294036402912,0.6219783804787361,0.617294036402912,0.0001,COMPLETE
15,0.794154051790321,relu,256,0.45238494459994505,13,3.0,0.12808872201151433,427,5.0,70,,,,3,0.0035798847913589686,1,mse,recon,0.9344500600741262,False,1e-05,0.8343560997363771,0.8390330929256494,0.5162367788710318,0.5225036004702309,0.7434547767296841,0.7463484304936956,relu,fedavg,256,0.45238494459994505,13,3.0,3.0,-3.0,0.12808872201151433,3,427,5.0,[427],"[42, 43, 44, 45]",70,,,,3,0.0035798847913589686,1,sgd,mse,120,recon,0.794154051790321,0.006464281385972088,0.5191334003915768,0.0173085964333898,0.7889054382330306,0.7434547767296841,0.9344500600741262,False,0.5162367788710318,0.5225036004702309,0.5162367788710318,1e-05,COMPLETE
16,0.772575633395805,relu,256,0.2296281762145513,10,4.0,0.047000119193234144,74,1.0,45,,,,2,0.008412581433924031,1,mse,recon,0.6904521905433019,False,1e-06,0.7374201087232637,0.7358412081491643,0.6203542161782775,0.6244823772770638,0.8094193899228701,0.8084591292824602,relu,fedavg,256,0.2296281762145513,10,4.0,4.0,-4.0,0.047000119193234144,5,74,1.0,[74],"[42, 43, 44, 45]",45,,,,2,0.008412581433924031,1,sgd,mse,120,recon,0.772575633395805,0.016065704616650474,0.6257905393072796,0.004843815430717177,0.7734197493230669,0.7374201087232637,0.6904521905433019,False,0.6203542161782775,0.6244823772770638,0.6203542161782775,1e-06,COMPLETE
17,0.7773124671294649,relu,256,0.46797683325629563,14,6.0,0.29773940140550614,246,,57,0.9336514100354825,,,7,0.002648751455111781,2,mse,recon,0.644564288070808,False,0.0,0.7214970805790295,0.7218326858014343,0.6376919262909712,0.6459310041001729,0.8363211532418463,0.8322492084022497,relu,fedavg,256,0.46797683325629563,14,6.0,6.0,-6.0,0.29773940140550614,2,246,,"[246, 229]","[42, 43, 44, 45]",57,0.9308943089430894,,,7,0.002648751455111781,2,sgd,mse,120,recon,0.7773124671294649,0.00611699016238492,0.6463212314490226,0.005083358476681909,0.7789091169104378,0.7214970805790295,0.644564288070808,False,0.6376919262909712,0.6459310041001729,0.6376919262909712,0.0,COMPLETE
18,0.710549007321603,gelu,256,0.18825664111464077,10,6.0,0.05317533899117784,446,2.0,78,,,,4,0.0007900308601829021,1,huber,recon+kl,0.861227686041002,False,0.0001,,,,,,,gelu,fedavg,256,0.18825664111464077,10,6.0,6.0,-6.0,0.05317533899117784,2,446,2.0,[446],"[42, 43, 44, 45]",78,,,,4,0.0007900308601829021,1,sgd,huber,120,recon+kl,,,,,,,0.861227686041002,False,,,,0.0001,PRUNED
19,0.8532863140616738,leakyrelu,64,0.35454912841217584,12,4.0,0.19385569795953558,669,5.0,33,0.8912042728269483,,,2,0.01170812084116622,2,mse,recon,0.34921721693842395,False,0.0001,0.8924288397018673,0.8974954857406562,0.49608185104273095,0.49468045664993854,0.8186123389049772,0.8144039331271016,leakyrelu,fedavg,64,0.35454912841217584,12,4.0,4.0,-4.0,0.19385569795953558,5,669,5.0,"[669, 596]","[42, 43, 44, 45]",33,0.890881913303438,,,2,0.01170812084116622,2,sgd,mse,120,recon,0.8532863140616738,0.01558297184289937,0.495131603272988,0.004063623461465915,0.8555205893034222,0.8186123389049772,0.34921721693842395,False,0.49608185104273095,0.49468045664993854,0.49608185104273095,0.0001,COMPLETE
