number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_prox_mu,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_prox_mu,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
20,0.6468852786574615,relu,64,1.2137012735125614,7,3.0,0.32830422971670276,738,,100,0.6950868392291879,,,4,0.0007882800471785134,2,0.0008040235153548488,mse,recon,0.11440442926581612,True,0.0001,0.46424726357206164,0.4688298683438048,0.5185546655226074,0.5215130301388113,0.833246286981998,0.8252194122912986,relu,fedprox,64,1.2137012735125614,7,3.0,3.0,-3.0,0.32830422971670276,2,738,,"[738, 512]","[42, 43, 44, 45]",100,0.6937669376693767,,,4,0.0007882800471785134,2,sgd,0.0008040235153548488,mse,120,recon,0.6468852786574615,0.0019252166448267593,0.5216301791967499,0.0009500207010641145,0.6487467752770298,0.46424726357206164,0.11440442926581612,True,0.5185546655226074,0.5215130301388113,0.5185546655226074,0.0001,COMPLETE
21,0.8211315584655682,leakyrelu,64,0.3371028971545293,9,5.0,0.19704255151600225,1023,,80,0.9716079126824564,,,7,0.0003280186060865344,2,0.0012133300801848274,mse,recon,0.267160419583162,True,0.0,0.8117636953114269,0.8175571964950014,0.6418432996325085,0.6468267555805819,0.8278370223599609,0.8247323227084473,leakyrelu,fedprox,64,0.3371028971545293,9,5.0,5.0,-5.0,0.19704255151600225,2,1023,,"[1023, 993]","[42, 43, 44, 45]",80,0.9706744868035191,,,7,0.0003280186060865344,2,sgd,0.0012133300801848274,mse,120,recon,0.8211315584655682,0.00673712618852939,0.6474801971197179,0.004649448568820813,0.8198003588356939,0.8117636953114269,0.267160419583162,True,0.6418432996325085,0.6468267555805819,0.6418432996325085,0.0,COMPLETE
22,0.824967863024776,leakyrelu,64,0.6166794276688322,10,5.0,0.11120556161897391,923,,65,0.8838982135517306,,,7,0.0003231921442941871,2,0.0003035980087207961,mse,recon,0.2730991834249742,True,0.0,0.8194259851987333,0.8254977680965525,0.6391410617547386,0.6458596768032575,0.8278222982419499,0.8241925167845536,leakyrelu,fedprox,64,0.6166794276688322,10,5.0,5.0,-5.0,0.11120556161897391,2,923,,"[923, 815]","[42, 43, 44, 45]",65,0.8829902491874323,,,7,0.0003231921442941871,2,sgd,0.0003035980087207961,mse,120,recon,0.824967863024776,0.0006501238108779833,0.6454816803511585,0.0016699710348897832,0.8236241417203416,0.8194259851987333,0.2730991834249742,True,0.6391410617547386,0.6458596768032575,0.6391410617547386,0.0,COMPLETE
23,0.8125691663091482,leakyrelu,64,0.6847350433376032,12,5.0,0.03513891780678538,908,,61,0.8617505945673163,,,6,0.0004926883990043938,2,0.0002746986010174972,mse,recon,0.42823776122426915,True,0.0,0.8010292111447932,0.8037827517541929,0.6355269258487772,0.641591476052845,0.8262630282571348,0.8228685516125025,leakyrelu,fedprox,64,0.6847350433376032,12,5.0,5.0,-5.0,0.03513891780678538,2,908,,"[908, 782]","[42, 43, 44, 45]",61,0.8612334801762115,,,6,0.0004926883990043938,2,sgd,0.0002746986010174972,mse,120,recon,0.8125691663091482,0.0019952664133370186,0.6420320235454171,0.005451100451645725,0.813646119700964,0.8010292111447932,0.42823776122426915,True,0.6355269258487772,0.641591476052845,0.6355269258487772,0.0,COMPLETE
24,0.6964755377360798,leakyrelu,64,0.571702756289417,11,5.0,0.05859991993846305,770,,40,0.5016149757744301,0.635838619439086,,5,0.0004477610908779956,3,0.00035107618883514064,mse,recon,0.2572093837522653,True,0.0,,,,,,,leakyrelu,fedprox,64,0.571702756289417,11,5.0,5.0,-5.0,0.05859991993846305,2,770,,"[770, 386, 245]","[42, 43, 44, 45]",40,0.5012987012987012,0.6347150259067358,,5,0.0004477610908779956,3,sgd,0.00035107618883514064,mse,120,recon,,,,,,,0.2572093837522653,True,,,,0.0,PRUNED
25,0.8113666795208687,leakyrelu,64,0.9454591495780009,14,6.0,0.12652328158439485,935,,10,0.8688747720032012,,,7,0.0006663641354272495,2,0.00013511658251330518,mse,recon,0.575188669619149,True,1e-10,0.8226844842607176,0.824770338452434,0.635497421162462,0.6429080027227858,0.8020042676421277,0.7984995629806507,leakyrelu,fedprox,64,0.9454591495780009,14,6.0,6.0,-6.0,0.12652328158439485,2,935,,"[935, 812]","[42, 43, 44, 45]",10,0.8684491978609625,,,7,0.0006663641354272495,2,sgd,0.00013511658251330518,mse,120,recon,0.8113666795208687,0.005466234516113891,0.6422484751364685,0.003204481869111764,0.8123443759514226,0.8020042676421277,0.575188669619149,True,0.635497421162462,0.6429080027227858,0.635497421162462,1e-10,COMPLETE
26,0.748752036914728,leakyrelu,64,0.34681284910388,10,8.0,0.08184981085016504,836,1.0,67,,,,8,0.0004057743595908852,1,0.004887464116104924,mse,recon+kl,0.11610297210154338,False,1e-06,,,,,,,leakyrelu,fedprox,64,0.34681284910388,10,8.0,8.0,-8.0,0.08184981085016504,2,836,1.0,[836],"[42, 43, 44, 45]",67,,,,8,0.0004057743595908852,1,sgd,0.004887464116104924,mse,120,recon+kl,,,,,,,0.11610297210154338,False,,,,1e-06,PRUNED
27,0.686878105942146,relu,256,1.593488778566729,12,5.0,0.2075921702408839,698,5.0,115,0.7275671645880979,,,2,0.0008998728251758498,2,0.0017326689384375275,mse,recon,0.01465235995436659,True,1e-05,,,,,,,relu,fedprox,256,1.593488778566729,12,5.0,5.0,-5.0,0.2075921702408839,5,698,5.0,"[698, 507]","[42, 43, 44, 45]",115,0.7263610315186246,,,2,0.0008998728251758498,2,sgd,0.0017326689384375275,mse,120,recon,,,,,,,0.01465235995436659,True,,,,1e-05,PRUNED
28,0.7446094968679496,gelu,128,0.5538843600818916,6,5.0,0.14381470741950714,940,2.0,96,0.5517154361893248,0.9967538884211429,,6,0.0031842388574266555,3,0.0006501855406696133,mse,recon,0.3817888354170499,True,0.0001,,,,,,,gelu,fedprox,128,0.5538843600818916,6,5.0,5.0,-5.0,0.14381470741950714,2,940,2.0,"[940, 518, 516]","[42, 43, 44, 45]",96,0.551063829787234,0.9961389961389961,,6,0.0031842388574266555,3,sgd,0.0006501855406696133,mse,120,recon,,,,,,,0.3817888354170499,True,,,,0.0001,PRUNED
29,0.7443776684523775,relu,512,0.7577910574518529,2,6.0,0.19544110256681874,626,5.0,91,0.8462307456310009,0.6573920844853308,,5,0.008645690940904024,3,0.0059022436296755215,mse,recon,0.3203693454428197,False,0.0001,,,,,,,relu,fedprox,512,0.7577910574518529,2,6.0,6.0,-6.0,0.19544110256681874,2,626,5.0,"[626, 529, 347]","[42, 43, 44, 45]",91,0.8450479233226837,0.6559546313799622,,5,0.008645690940904024,3,sgd,0.0059022436296755215,mse,120,recon,,,,,,,0.3203693454428197,False,,,,0.0001,PRUNED
